Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-04-08 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-11 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-12 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-13 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-14 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-15 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-18 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-19 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-20 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-21 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-22 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-25 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-26 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-28 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-04-29 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-02 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-03 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-04 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-05 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-06 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-09 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-10 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-11 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-12 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-13 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-16 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-17 00:00:00-04:00,891.36493,3565.45972,891.36493,891.36493,0,0.0,0.0
1994-05-18 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-19 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-20 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-23 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-24 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-25 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-26 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-27 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-05-31 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-06-01 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-06-02 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
1994-06-03 00:00:00-04:00,891.36493,891.36493,891.36493,891.36493,0,0.0,0.0
