Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-28 00:00:00-04:00,9.95,9.95,9.93,9.95,1199600,0.0,0.0
2026-05-29 00:00:00-04:00,9.94,9.95,9.94,9.95,137200,0.0,0.0
2026-06-01 00:00:00-04:00,9.95,9.95,9.95,9.95,540900,0.0,0.0
2026-06-02 00:00:00-04:00,9.95,9.96,9.95,9.96,1701100,0.0,0.0
2026-06-03 00:00:00-04:00,9.95,9.97,9.95,9.96,552900,0.0,0.0
2026-06-04 00:00:00-04:00,9.96,9.96,9.96,9.96,1900,0.0,0.0
2026-06-05 00:00:00-04:00,9.96,9.99,9.95,9.99,398900,0.0,0.0
2026-06-08 00:00:00-04:00,9.96,9.96,9.95,9.96,251300,0.0,0.0
2026-06-09 00:00:00-04:00,9.95,9.97,9.95,9.96,700500,0.0,0.0
2026-06-10 00:00:00-04:00,9.96,9.96,9.95,9.96,433100,0.0,0.0
2026-06-11 00:00:00-04:00,9.96,9.97,9.95,9.96,340300,0.0,0.0
2026-06-12 00:00:00-04:00,9.97,9.99,9.95,9.99,53400,0.0,0.0
2026-06-15 00:00:00-04:00,9.97,9.98,9.95,9.98,105500,0.0,0.0
2026-06-16 00:00:00-04:00,10.0,10.0,9.96,9.96,471900,0.0,0.0
2026-06-17 00:00:00-04:00,10.0,10.0,10.0,10.0,2300,0.0,0.0
2026-06-18 00:00:00-04:00,9.99,9.99,9.99,9.99,900,0.0,0.0
2026-06-22 00:00:00-04:00,10.0,10.0,9.98,9.98,4300,0.0,0.0
2026-06-23 00:00:00-04:00,9.96,9.96,9.95,9.95,33600,0.0,0.0
2026-06-24 00:00:00-04:00,9.95,9.96,9.95,9.96,56300,0.0,0.0
2026-06-25 00:00:00-04:00,9.96,9.97,9.96,9.96,17600,0.0,0.0
2026-06-26 00:00:00-04:00,9.98,9.99,9.98,9.99,48300,0.0,0.0
2026-06-29 00:00:00-04:00,9.98,9.98,9.98,9.98,800,0.0,0.0
2026-06-30 00:00:00-04:00,9.97,9.99,9.95,9.95,22200,0.0,0.0
2026-07-01 00:00:00-04:00,9.98,9.99,9.98,9.98,45600,0.0,0.0
2026-07-02 00:00:00-04:00,10.0,10.01,9.97,9.97,21300,0.0,0.0
2026-07-06 00:00:00-04:00,9.98,9.98,9.98,9.98,2300,0.0,0.0
2026-07-07 00:00:00-04:00,9.99,9.99,9.97,9.97,27600,0.0,0.0
2026-07-08 00:00:00-04:00,9.98,9.98,9.98,9.98,1000,0.0,0.0
2026-07-09 00:00:00-04:00,9.98,10.0,9.96,9.97,5500,0.0,0.0
2026-07-10 00:00:00-04:00,9.95,9.99,9.95,9.99,107500,0.0,0.0
2026-07-13 00:00:00-04:00,9.99,9.99,9.99,9.99,0,0.0,0.0
2026-07-14 00:00:00-04:00,9.98,9.98,9.98,9.98,1600,0.0,0.0
2026-07-15 00:00:00-04:00,9.98,9.98,9.98,9.98,600,0.0,0.0
2026-07-16 00:00:00-04:00,9.98,9.98,9.98,9.98,600,0.0,0.0
2026-07-17 00:00:00-04:00,9.98,9.98,9.98,9.98,600,0.0,0.0
2026-07-20 00:00:00-04:00,9.99,9.99,9.97,9.98,4200,0.0,0.0
2026-07-21 00:00:00-04:00,9.98,9.98,9.98,9.98,0,0.0,0.0
