Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-06-05 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-06 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-07 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-08 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-09 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-12 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-13 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-14 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-15 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-16 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-19 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-20 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-21 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-22 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-23 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-26 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-27 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-28 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-29 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-06-30 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-03 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-05 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-06 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-07 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-10 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-11 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-12 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-13 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-14 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-17 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-18 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-19 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-20 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-21 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-24 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-25 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-26 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-27 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-28 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-07-31 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-08-01 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
2006-08-02 00:00:00-04:00,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
