Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-01-06 00:00:00-05:00,9.98,9.98,9.98,9.98,18500,0.0,0.0
2026-01-07 00:00:00-05:00,9.98,9.98,9.9,9.93,82800,0.0,0.0
2026-01-08 00:00:00-05:00,9.92,9.933,9.92,9.92,82100,0.0,0.0
2026-01-09 00:00:00-05:00,9.93,9.95,9.91,9.93,7700,0.0,0.0
2026-01-12 00:00:00-05:00,9.95,9.95,9.91,9.93,2500,0.0,0.0
2026-01-13 00:00:00-05:00,9.93,9.93,9.93,9.93,0,0.0,0.0
2026-01-14 00:00:00-05:00,9.91,9.95,9.91,9.94,500,0.0,0.0
2026-01-15 00:00:00-05:00,9.95,9.98,9.93,9.98,1281700,0.0,0.0
2026-01-16 00:00:00-05:00,9.98,9.98,9.98,9.98,300,0.0,0.0
2026-01-20 00:00:00-05:00,9.98,9.98,9.97,9.97,105600,0.0,0.0
2026-01-21 00:00:00-05:00,9.93,9.98,9.93,9.97,3600,0.0,0.0
2026-01-22 00:00:00-05:00,9.98,10.1,9.98,10.08,76900,0.0,0.0
2026-01-23 00:00:00-05:00,10.08,10.08,10.08,10.08,0,0.0,0.0
2026-01-26 00:00:00-05:00,10.08,10.08,10.08,10.08,0,0.0,0.0
2026-01-27 00:00:00-05:00,10.04,10.05,10.04,10.04,100600,0.0,0.0
2026-01-28 00:00:00-05:00,10.04,10.07,10.04,10.05,256400,0.0,0.0
2026-01-29 00:00:00-05:00,10.05,10.05,10.05,10.05,800,0.0,0.0
2026-01-30 00:00:00-05:00,10.04,10.04,10.04,10.04,4800,0.0,0.0
2026-02-02 00:00:00-05:00,10.04,10.06,10.04,10.06,206800,0.0,0.0
2026-02-03 00:00:00-05:00,10.05,10.06,10.05,10.06,415100,0.0,0.0
2026-02-04 00:00:00-05:00,10.05,10.06,10.05,10.06,107000,0.0,0.0
2026-02-05 00:00:00-05:00,10.06,10.08,10.05,10.05,64900,0.0,0.0
2026-02-06 00:00:00-05:00,10.06,10.08,10.05,10.05,13300,0.0,0.0
2026-02-09 00:00:00-05:00,10.09,10.09,10.04,10.04,1500,0.0,0.0
2026-02-10 00:00:00-05:00,10.1,10.1,10.053,10.055,767600,0.0,0.0
2026-02-11 00:00:00-05:00,10.07,10.07,10.01,10.01,14600,0.0,0.0
2026-02-12 00:00:00-05:00,10.05,10.06,10.05,10.06,2000,0.0,0.0
2026-02-13 00:00:00-05:00,10.0,10.05,9.99,10.05,62400,0.0,0.0
2026-02-17 00:00:00-05:00,10.04,10.04,10.04,10.04,800,0.0,0.0
2026-02-18 00:00:00-05:00,10.03,10.04,10.03,10.04,900,0.0,0.0
2026-02-19 00:00:00-05:00,10.04,10.04,10.04,10.04,300,0.0,0.0
2026-02-20 00:00:00-05:00,10.04,10.04,10.04,10.04,500,0.0,0.0
2026-02-23 00:00:00-05:00,10.04,10.04,9.97,10.005,2300,0.0,0.0
2026-02-24 00:00:00-05:00,10.03,10.03,9.98,9.98,35900,0.0,0.0
2026-02-25 00:00:00-05:00,10.03,10.03,9.99,10.03,1300,0.0,0.0
2026-02-26 00:00:00-05:00,10.04,10.04,10.01,10.03,800,0.0,0.0
2026-02-27 00:00:00-05:00,10.04,10.04,10.01,10.03,900,0.0,0.0
2026-03-02 00:00:00-05:00,10.04,10.04,10.01,10.011,1800,0.0,0.0
2026-03-03 00:00:00-05:00,10.04,10.04,10.01,10.04,800,0.0,0.0
2026-03-04 00:00:00-05:00,10.04,10.04,10.04,10.04,400,0.0,0.0
2026-03-05 00:00:00-05:00,10.01,10.04,10.01,10.04,1400,0.0,0.0
2026-03-06 00:00:00-05:00,10.01,10.04,10.01,10.04,300,0.0,0.0
2026-03-09 00:00:00-04:00,10.05,10.05,10.01,10.04,12600,0.0,0.0
2026-03-10 00:00:00-04:00,10.04,10.04,10.04,10.04,200,0.0,0.0
