Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-04-02 00:00:00-05:00,6.875,7.375,6.5625,7.34375,9147200,0.0,0.0
1991-04-03 00:00:00-05:00,7.28125,7.34375,6.875,7.3125,3403200,0.0,0.0
1991-04-04 00:00:00-05:00,7.28125,7.28125,7.09375,7.21875,831200,0.0,0.0
1991-04-05 00:00:00-05:00,7.125,7.1875,7.09375,7.125,457200,0.0,0.0
1991-04-08 00:00:00-04:00,7.0625,7.1875,6.875,7.125,608800,0.0,0.0
1991-04-09 00:00:00-04:00,7.125,7.25,7.125,7.1875,472400,0.0,0.0
1991-04-10 00:00:00-04:00,7.125,7.5,7.125,7.5,781600,0.0,0.0
1991-04-11 00:00:00-04:00,7.75,8.28125,7.75,8.0625,1339200,0.0,0.0
1991-04-12 00:00:00-04:00,8.125,8.25,8.0625,8.15625,468800,0.0,0.0
1991-04-15 00:00:00-04:00,8.21875,8.21875,7.9375,8.0,352800,0.0,0.0
1991-04-16 00:00:00-04:00,7.96875,8.15625,7.78125,8.09375,266400,0.0,0.0
1991-04-17 00:00:00-04:00,8.125,8.125,7.90625,7.9375,246400,0.0,0.0
1991-04-18 00:00:00-04:00,7.96875,8.0625,7.875,8.0,298800,0.0,0.0
1991-04-19 00:00:00-04:00,7.9375,8.0625,7.9375,8.03125,204800,0.0,0.0
1991-04-22 00:00:00-04:00,8.0,8.0625,7.59375,7.59375,388000,0.0,0.0
1991-04-23 00:00:00-04:00,7.71875,7.84375,7.65625,7.8125,256400,0.0,0.0
1991-04-24 00:00:00-04:00,7.84375,8.0625,7.84375,8.03125,254000,0.0,0.0
1991-04-25 00:00:00-04:00,8.09375,8.125,8.0625,8.0625,82400,0.0,0.0
1991-04-26 00:00:00-04:00,8.03125,8.0625,7.875,8.0,106800,0.0,0.0
1991-04-29 00:00:00-04:00,8.1875,8.25,8.125,8.1875,306400,0.0,0.0
1991-04-30 00:00:00-04:00,8.125,8.125,7.75,8.0625,187600,0.0,0.0
1991-05-01 00:00:00-04:00,8.125,8.1875,8.0625,8.1875,196400,0.0,0.0
1991-05-02 00:00:00-04:00,8.125,8.28125,8.125,8.25,155200,0.0,0.0
1991-05-03 00:00:00-04:00,8.25,8.28125,8.125,8.25,85600,0.0,0.0
1991-05-06 00:00:00-04:00,8.1875,8.21875,8.03125,8.15625,55200,0.0,0.0
1991-05-07 00:00:00-04:00,8.21875,8.21875,8.03125,8.03125,138400,0.0,0.0
1991-05-08 00:00:00-04:00,8.0,8.0,7.96875,8.0,102400,0.0,0.0
1991-05-09 00:00:00-04:00,8.0,8.09375,7.96875,8.0625,124400,0.0,0.0
1991-05-10 00:00:00-04:00,8.03125,8.03125,7.9375,7.9375,61600,0.0,0.0
1991-05-13 00:00:00-04:00,7.90625,7.9375,7.78125,7.78125,85600,0.0,0.0
1991-05-14 00:00:00-04:00,7.8125,7.8125,7.4375,7.5,296000,0.0,0.0
1991-05-15 00:00:00-04:00,7.5,7.8125,7.46875,7.65625,165600,0.0,0.0
1991-05-16 00:00:00-04:00,7.6875,7.75,7.625,7.75,116000,0.0,0.0
1991-05-17 00:00:00-04:00,7.6875,7.6875,7.3125,7.46875,864000,0.0,0.0
1991-05-20 00:00:00-04:00,7.5,7.75,7.46875,7.6875,174800,0.0,0.0
1991-05-21 00:00:00-04:00,7.90625,7.96875,7.71875,7.75,235200,0.0,0.0
