Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-09-26 00:00:00-04:00,10.0,10.09,9.37,9.96,946000,0.0,0.0
2013-09-27 00:00:00-04:00,10.44,10.44,10.0,10.1,253300,0.0,0.0
2013-09-30 00:00:00-04:00,10.0,10.18,9.71,10.0,84900,0.0,0.0
2013-10-01 00:00:00-04:00,9.95,10.02,9.92,10.0,74500,0.0,0.0
2013-10-02 00:00:00-04:00,9.99,10.0,9.89,9.97,94000,0.0,0.0
2013-10-03 00:00:00-04:00,10.0,10.01,9.8,10.0,72400,0.0,0.0
2013-10-04 00:00:00-04:00,10.1,10.2,9.82,10.2,109800,0.0,0.0
2013-10-07 00:00:00-04:00,10.4,10.4,10.06,10.18,52700,0.0,0.0
2013-10-08 00:00:00-04:00,10.2,10.2,10.1,10.12,13900,0.0,0.0
2013-10-09 00:00:00-04:00,10.14,10.21,10.14,10.15,14800,0.0,0.0
2013-10-10 00:00:00-04:00,10.5,10.55,10.01,10.2,80300,0.0,0.0
2013-10-11 00:00:00-04:00,10.31,10.41,10.15,10.18,23700,0.0,0.0
2013-10-14 00:00:00-04:00,9.51,10.05,9.07,10.0,64400,0.0,0.0
2013-10-15 00:00:00-04:00,9.78,10.29,9.77,10.18,10200,0.0,0.0
2013-10-16 00:00:00-04:00,10.28,10.28,10.01,10.25,7100,0.0,0.0
2013-10-17 00:00:00-04:00,10.09,10.55,10.0,10.44,63100,0.0,0.0
2013-10-18 00:00:00-04:00,10.49,12.0,10.48,11.01,154200,0.0,0.0
2013-10-21 00:00:00-04:00,12.98,13.0,11.55,12.9,252600,0.0,0.0
2013-10-22 00:00:00-04:00,13.0,13.5,12.67,13.13,321200,0.0,0.0
2013-10-23 00:00:00-04:00,12.99,13.41,12.9,13.11,65000,0.0,0.0
2013-10-24 00:00:00-04:00,13.1,13.49,12.45,12.61,74700,0.0,0.0
2013-10-25 00:00:00-04:00,12.45,12.8,12.26,12.36,130200,0.0,0.0
2013-10-28 00:00:00-04:00,12.25,12.38,11.53,11.87,67800,0.0,0.0
2013-10-29 00:00:00-04:00,11.91,13.18,11.91,13.06,180100,0.0,0.0
2013-10-30 00:00:00-04:00,13.05,13.18,11.6,12.55,133500,0.0,0.0
2013-10-31 00:00:00-04:00,12.65,13.02,12.55,12.68,89300,0.0,0.0
2013-11-01 00:00:00-04:00,12.87,12.95,12.29,12.76,46400,0.0,0.0
2013-11-04 00:00:00-05:00,12.85,13.0,12.85,13.0,67700,0.0,0.0
2013-11-05 00:00:00-05:00,12.85,13.0,12.75,13.0,29200,0.0,0.0
2013-11-06 00:00:00-05:00,12.5,13.31,12.5,13.12,99900,0.0,0.0
2013-11-07 00:00:00-05:00,13.0,13.48,12.75,13.0,75100,0.0,0.0
2013-11-08 00:00:00-05:00,12.9,12.99,12.42,12.8,88200,0.0,0.0
2013-11-11 00:00:00-05:00,12.8,13.06,12.69,12.9,17200,0.0,0.0
2013-11-12 00:00:00-05:00,12.92,13.1,12.86,13.0,12200,0.0,0.0
2013-11-13 00:00:00-05:00,12.88,12.99,12.52,12.62,13500,0.0,0.0
2013-11-14 00:00:00-05:00,12.51,12.58,12.21,12.39,20900,0.0,0.0
2013-11-15 00:00:00-05:00,12.39,12.69,12.25,12.66,16500,0.0,0.0
2013-11-18 00:00:00-05:00,12.52,12.78,12.2,12.21,79900,0.0,0.0
2013-11-19 00:00:00-05:00,12.34,12.49,12.24,12.43,10400,0.0,0.0
2013-11-20 00:00:00-05:00,12.49,12.57,12.31,12.5,22000,0.0,0.0
2013-11-21 00:00:00-05:00,12.5,12.56,12.38,12.56,27200,0.0,0.0
2013-11-22 00:00:00-05:00,12.58,12.58,12.31,12.57,39300,0.0,0.0
2013-11-25 00:00:00-05:00,12.57,12.8,12.57,12.57,59600,0.0,0.0
2013-11-26 00:00:00-05:00,12.64,12.64,12.23,12.63,46600,0.0,0.0
2013-11-27 00:00:00-05:00,12.5,12.99,12.24,12.96,36200,0.0,0.0
2013-11-29 00:00:00-05:00,12.96,13.24,12.25,13.19,54600,0.0,0.0
2013-12-02 00:00:00-05:00,13.07,13.27,12.58,12.58,18600,0.0,0.0
2013-12-03 00:00:00-05:00,12.61,13.0,12.2,12.31,47300,0.0,0.0
2013-12-04 00:00:00-05:00,12.38,12.91,12.3,12.89,75000,0.0,0.0
2013-12-05 00:00:00-05:00,12.75,13.2,12.75,13.12,126000,0.0,0.0
2013-12-06 00:00:00-05:00,13.16,14.74,13.16,14.37,192100,0.0,0.0
2013-12-09 00:00:00-05:00,14.71,15.84,14.5,14.88,195100,0.0,0.0
2013-12-10 00:00:00-05:00,14.73,15.75,14.73,15.59,100600,0.0,0.0
2013-12-11 00:00:00-05:00,15.6,16.61,15.51,15.81,127900,0.0,0.0
2013-12-12 00:00:00-05:00,16.0,16.1,14.69,15.14,97400,0.0,0.0
2013-12-13 00:00:00-05:00,15.26,15.96,14.29,14.78,68800,0.0,0.0
2013-12-16 00:00:00-05:00,14.93,15.87,14.71,15.48,92400,0.0,0.0
2013-12-17 00:00:00-05:00,15.51,15.83,14.89,15.14,77500,0.0,0.0
2013-12-18 00:00:00-05:00,15.15,15.43,14.85,15.2,77200,0.0,0.0
2013-12-19 00:00:00-05:00,15.2,15.65,14.75,15.39,80800,0.0,0.0
2013-12-20 00:00:00-05:00,15.06,15.32,14.5,14.8,693700,0.0,0.0
2013-12-23 00:00:00-05:00,14.72,15.03,14.72,14.93,32400,0.0,0.0
2013-12-24 00:00:00-05:00,14.9,15.19,14.85,15.02,51900,0.0,0.0
2013-12-26 00:00:00-05:00,15.02,15.05,14.88,14.97,22700,0.0,0.0
2013-12-27 00:00:00-05:00,15.0,15.08,14.85,14.89,66800,0.0,0.0
2013-12-30 00:00:00-05:00,14.85,15.0,14.67,14.98,37200,0.0,0.0
2013-12-31 00:00:00-05:00,15.0,15.1,14.71,15.01,83900,0.0,0.0
2014-01-02 00:00:00-05:00,14.88,14.92,14.61,14.63,22500,0.0,0.0
2014-01-03 00:00:00-05:00,14.63,14.75,14.26,14.35,47300,0.0,0.0
2014-01-06 00:00:00-05:00,14.35,14.49,14.1,14.33,64100,0.0,0.0
2014-01-07 00:00:00-05:00,14.89,14.89,14.35,14.74,49300,0.0,0.0
2014-01-08 00:00:00-05:00,14.75,14.82,14.5,14.66,37600,0.0,0.0
2014-01-09 00:00:00-05:00,14.65,14.65,14.01,14.16,42600,0.0,0.0
2014-01-10 00:00:00-05:00,14.16,14.32,13.58,14.0,48200,0.0,0.0
2014-01-13 00:00:00-05:00,13.83,14.06,13.69,13.7,43300,0.0,0.0
2014-01-14 00:00:00-05:00,13.72,14.13,13.59,13.88,116600,0.0,0.0
2014-01-15 00:00:00-05:00,14.0,14.11,13.59,13.97,63600,0.0,0.0
2014-01-16 00:00:00-05:00,13.9,14.56,13.85,14.29,71400,0.0,0.0
2014-01-17 00:00:00-05:00,14.15,14.5,14.15,14.42,45000,0.0,0.0
2014-01-21 00:00:00-05:00,14.35,14.48,14.1,14.15,14900,0.0,0.0
2014-01-22 00:00:00-05:00,14.11,14.33,13.92,14.15,41600,0.0,0.0
2014-01-23 00:00:00-05:00,13.84,14.36,13.6,13.73,38100,0.0,0.0
2014-01-24 00:00:00-05:00,13.46,13.59,13.0,13.39,117200,0.0,0.0
2014-01-27 00:00:00-05:00,13.5,13.81,13.4,13.72,33900,0.0,0.0
2014-01-28 00:00:00-05:00,13.85,14.19,13.76,13.84,44000,0.0,0.0
2014-01-29 00:00:00-05:00,13.63,13.82,13.57,13.61,26100,0.0,0.0
2014-01-30 00:00:00-05:00,13.67,14.41,13.67,14.0,72700,0.0,0.0
2014-01-31 00:00:00-05:00,13.88,13.96,13.4,13.63,37600,0.0,0.0
2014-02-03 00:00:00-05:00,13.7,14.36,13.45,13.61,116600,0.0,0.0
2014-02-04 00:00:00-05:00,13.69,13.86,13.6,13.68,26800,0.0,0.0
2014-02-05 00:00:00-05:00,13.56,13.64,13.12,13.14,39700,0.0,0.0
2014-02-06 00:00:00-05:00,13.23,13.33,13.11,13.16,30500,0.0,0.0
2014-02-07 00:00:00-05:00,12.9,13.07,12.38,13.07,49000,0.0,0.0
2014-02-10 00:00:00-05:00,13.12,13.25,12.75,13.12,31300,0.0,0.0
2014-02-11 00:00:00-05:00,13.19,13.35,12.78,12.79,22400,0.0,0.0
2014-02-12 00:00:00-05:00,12.87,12.99,12.49,12.52,39100,0.0,0.0
2014-02-13 00:00:00-05:00,12.0,12.62,11.19,12.54,64100,0.0,0.0
2014-02-14 00:00:00-05:00,12.5,14.19,12.5,14.0,78500,0.0,0.0
2014-02-18 00:00:00-05:00,14.1,14.11,13.61,13.66,109100,0.0,0.0
2014-02-19 00:00:00-05:00,13.52,15.16,13.5,15.02,101300,0.0,0.0
2014-02-20 00:00:00-05:00,15.5,18.75,15.5,17.98,469000,0.0,0.0
2014-02-21 00:00:00-05:00,17.64,20.75,17.64,20.67,358800,0.0,0.0
2014-02-24 00:00:00-05:00,20.5,21.12,19.1,20.1,297900,0.0,0.0
2014-02-25 00:00:00-05:00,20.2,20.99,19.47,20.0,126500,0.0,0.0
2014-02-26 00:00:00-05:00,20.35,20.57,19.61,19.79,95600,0.0,0.0
2014-02-27 00:00:00-05:00,19.7,20.0,18.94,19.2,196200,0.0,0.0
2014-02-28 00:00:00-05:00,23.55,24.96,21.66,23.66,488100,0.0,0.0
2014-03-03 00:00:00-05:00,22.88,25.49,22.01,25.11,270100,0.0,0.0
2014-03-04 00:00:00-05:00,25.02,25.39,24.05,24.64,217000,0.0,0.0
2014-03-05 00:00:00-05:00,24.74,25.37,24.27,25.15,163300,0.0,0.0
2014-03-06 00:00:00-05:00,25.0,26.45,24.93,26.36,223800,0.0,0.0
2014-03-07 00:00:00-05:00,25.85,25.85,24.4,25.29,165800,0.0,0.0
