Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-18 00:00:00-04:00,75.0,76.79,67.0,68.35,20621000,0.0,0.0
2020-09-21 00:00:00-04:00,67.11,73.98,65.11,72.96,5055200,0.0,0.0
2020-09-22 00:00:00-04:00,76.64,84.98,75.11,84.82,6893700,0.0,0.0
2020-09-23 00:00:00-04:00,88.67,88.88,79.9,81.85,4343900,0.0,0.0
2020-09-24 00:00:00-04:00,77.75,83.89,75.7,83.2,2487200,0.0,0.0
2020-09-25 00:00:00-04:00,84.79,93.36,84.25,89.85,3681700,0.0,0.0
2020-09-28 00:00:00-04:00,94.46,100.0,94.1,95.8,3999900,0.0,0.0
2020-09-29 00:00:00-04:00,98.16,102.63,93.5,94.92,2814000,0.0,0.0
2020-09-30 00:00:00-04:00,94.9,96.36,85.03,87.28,3670700,0.0,0.0
2020-10-01 00:00:00-04:00,89.33,90.97,83.5,84.56,4530800,0.0,0.0
2020-10-02 00:00:00-04:00,81.55,87.619,81.55,83.53,2771300,0.0,0.0
2020-10-05 00:00:00-04:00,85.83,85.849,82.3,84.0,1260500,0.0,0.0
2020-10-06 00:00:00-04:00,84.61,84.76,82.71,82.79,1014400,0.0,0.0
2020-10-07 00:00:00-04:00,84.04,89.5,83.758,88.65,1767800,0.0,0.0
2020-10-08 00:00:00-04:00,91.19,93.5,88.8,91.4,1892900,0.0,0.0
2020-10-09 00:00:00-04:00,92.85,100.42,92.7,99.11,2587700,0.0,0.0
2020-10-12 00:00:00-04:00,100.13,101.0,89.8,90.0,3868000,0.0,0.0
2020-10-13 00:00:00-04:00,92.35,94.78,91.0,92.11,2000700,0.0,0.0
2020-10-14 00:00:00-04:00,93.52,96.1,89.2,90.02,2196100,0.0,0.0
2020-10-15 00:00:00-04:00,88.2,93.39,87.0,91.43,1362700,0.0,0.0
2020-10-16 00:00:00-04:00,92.19,93.6,90.878,92.56,958600,0.0,0.0
2020-10-19 00:00:00-04:00,94.0,95.4,88.21,89.3,1669100,0.0,0.0
2020-10-20 00:00:00-04:00,89.83,90.62,86.1,87.15,1224800,0.0,0.0
2020-10-21 00:00:00-04:00,87.27,91.27,87.27,91.0,1270200,0.0,0.0
2020-10-22 00:00:00-04:00,90.82,101.0,88.28,100.96,4738100,0.0,0.0
2020-10-23 00:00:00-04:00,101.0,103.97,93.0,97.28,3246200,0.0,0.0
2020-10-26 00:00:00-04:00,98.0,103.49,91.63,99.96,2933300,0.0,0.0
2020-10-27 00:00:00-04:00,100.0,108.35,95.5,104.0,5984300,0.0,0.0
2020-10-28 00:00:00-04:00,100.0,102.0,96.2,99.76,2391500,0.0,0.0
2020-10-29 00:00:00-04:00,101.79,109.28,98.5,108.84,2805300,0.0,0.0
2020-10-30 00:00:00-04:00,105.81,107.3,92.22,94.88,5100700,0.0,0.0
2020-11-02 00:00:00-05:00,96.67,98.69,93.371,94.13,2514500,0.0,0.0
2020-11-03 00:00:00-05:00,96.0,99.5,94.6,98.07,2161600,0.0,0.0
2020-11-04 00:00:00-05:00,101.81,106.88,100.5,106.45,2788900,0.0,0.0
2020-11-05 00:00:00-05:00,110.0,112.79,107.23,110.76,2106600,0.0,0.0
2020-11-06 00:00:00-05:00,110.5,119.88,108.15,119.0,1727700,0.0,0.0
