Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-19 00:00:00-04:00,40.35,41.44,36.03,37.55,22025800,0.0,0.0
2019-09-20 00:00:00-04:00,38.59,39.2,36.15,36.15,3322600,0.0,0.0
2019-09-23 00:00:00-04:00,36.58,38.15,35.75,36.11,2237300,0.0,0.0
2019-09-24 00:00:00-04:00,36.01,37.12,34.06,34.5,3175000,0.0,0.0
2019-09-25 00:00:00-04:00,34.6,35.6,34.2,35.25,3026600,0.0,0.0
2019-09-26 00:00:00-04:00,36.0,36.29,32.3,32.44,2658200,0.0,0.0
2019-09-27 00:00:00-04:00,33.0,33.51,30.47,32.27,2475900,0.0,0.0
2019-09-30 00:00:00-04:00,32.64,34.2,32.0,33.91,1385000,0.0,0.0
2019-10-01 00:00:00-04:00,34.25,34.48,31.25,32.39,1291300,0.0,0.0
2019-10-02 00:00:00-04:00,31.65,31.9,30.01,31.1,1877200,0.0,0.0
2019-10-03 00:00:00-04:00,31.18,34.8,30.5,32.89,2437800,0.0,0.0
2019-10-04 00:00:00-04:00,33.05,35.08,32.799,34.72,918700,0.0,0.0
2019-10-07 00:00:00-04:00,34.9,37.97,34.4,36.81,1983800,0.0,0.0
2019-10-08 00:00:00-04:00,36.5,36.7,34.92,35.45,1217000,0.0,0.0
2019-10-09 00:00:00-04:00,35.85,37.49,35.61,36.75,1166800,0.0,0.0
2019-10-10 00:00:00-04:00,36.75,37.35,35.15,35.6,1348600,0.0,0.0
2019-10-11 00:00:00-04:00,35.93,36.48,35.37,35.67,2168600,0.0,0.0
2019-10-14 00:00:00-04:00,35.65,36.25,32.95,33.09,2194800,0.0,0.0
2019-10-15 00:00:00-04:00,33.17,34.85,32.51,34.8,1473000,0.0,0.0
2019-10-16 00:00:00-04:00,33.56,33.77,31.9,32.2,1987700,0.0,0.0
2019-10-17 00:00:00-04:00,32.3,34.16,32.3,33.96,1488800,0.0,0.0
2019-10-18 00:00:00-04:00,33.84,33.875,31.46,31.57,1305000,0.0,0.0
2019-10-21 00:00:00-04:00,31.9,32.1,29.7,30.01,1981500,0.0,0.0
2019-10-22 00:00:00-04:00,30.05,30.31,28.01,28.04,1964400,0.0,0.0
2019-10-23 00:00:00-04:00,27.9,29.25,27.55,28.76,2779600,0.0,0.0
2019-10-24 00:00:00-04:00,29.16,33.46,29.15,32.5,3813400,0.0,0.0
2019-10-25 00:00:00-04:00,32.86,34.5,32.4,34.3,2117700,0.0,0.0
2019-10-28 00:00:00-04:00,35.0,35.437,33.11,33.28,1906100,0.0,0.0
2019-10-29 00:00:00-04:00,33.19,34.08,32.6,33.65,716700,0.0,0.0
2019-10-30 00:00:00-04:00,33.79,34.87,33.38,34.81,919700,0.0,0.0
2019-10-31 00:00:00-04:00,34.82,34.99,33.12,33.59,965200,0.0,0.0
2019-11-01 00:00:00-04:00,33.7,34.48,33.63,34.02,803900,0.0,0.0
2019-11-04 00:00:00-05:00,34.53,34.87,33.36,34.44,865500,0.0,0.0
2019-11-05 00:00:00-05:00,34.5,35.25,33.21,34.91,1021100,0.0,0.0
2019-11-06 00:00:00-05:00,34.56,34.76,32.89,33.06,1257800,0.0,0.0
2019-11-07 00:00:00-05:00,33.3,33.74,31.0,31.29,1016600,0.0,0.0
2019-11-08 00:00:00-05:00,31.11,32.83,30.26,32.81,931700,0.0,0.0
2019-11-11 00:00:00-05:00,32.76,34.0,32.36,33.55,1665000,0.0,0.0
2019-11-12 00:00:00-05:00,33.81,35.2,33.8,34.4,3258700,0.0,0.0
2019-11-13 00:00:00-05:00,38.82,41.92,38.25,40.19,10597600,0.0,0.0
2019-11-14 00:00:00-05:00,40.18,41.72,39.38,41.37,2564300,0.0,0.0
2019-11-15 00:00:00-05:00,41.75,42.96,40.43,40.63,2117200,0.0,0.0
2019-11-18 00:00:00-05:00,40.72,41.48,39.75,40.32,1151500,0.0,0.0
2019-11-19 00:00:00-05:00,40.45,40.88,37.53,39.15,1890800,0.0,0.0
