Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-10-30 00:00:00-04:00,42.0,45.0,35.25,35.39,9251200,0.0,0.0
2013-10-31 00:00:00-04:00,37.75,37.98,33.33,35.31,1822900,0.0,0.0
2013-11-01 00:00:00-04:00,36.15,36.15,33.8,34.1,380600,0.0,0.0
2013-11-04 00:00:00-05:00,37.61,37.61,33.8,34.46,294800,0.0,0.0
2013-11-05 00:00:00-05:00,34.76,34.84,33.49,33.98,509300,0.0,0.0
2013-11-06 00:00:00-05:00,34.25,34.73,33.58,33.62,497100,0.0,0.0
2013-11-07 00:00:00-05:00,33.92,35.34,33.75,34.38,457600,0.0,0.0
2013-11-08 00:00:00-05:00,35.39,35.39,28.27,29.75,1097800,0.0,0.0
2013-11-11 00:00:00-05:00,30.65,30.72,29.16,29.16,495600,0.0,0.0
2013-11-12 00:00:00-05:00,30.35,31.38,29.49,30.69,824200,0.0,0.0
2013-11-13 00:00:00-05:00,31.18,32.57,29.9,31.92,652300,0.0,0.0
2013-11-14 00:00:00-05:00,33.89,35.99,32.52,34.29,1002900,0.0,0.0
2013-11-15 00:00:00-05:00,36.2,37.17,34.2,36.58,534800,0.0,0.0
2013-11-18 00:00:00-05:00,37.4,37.4,34.82,36.08,159900,0.0,0.0
2013-11-19 00:00:00-05:00,36.48,36.69,34.01,35.4,223200,0.0,0.0
2013-11-20 00:00:00-05:00,35.24,35.58,33.8,34.29,94300,0.0,0.0
2013-11-21 00:00:00-05:00,34.3,34.5,32.94,33.31,391100,0.0,0.0
2013-11-22 00:00:00-05:00,33.62,34.22,33.27,34.2,331100,0.0,0.0
2013-11-25 00:00:00-05:00,35.56,35.88,34.625,35.41,311000,0.0,0.0
2013-11-26 00:00:00-05:00,36.0,36.23,35.42,35.78,137100,0.0,0.0
2013-11-27 00:00:00-05:00,36.3,36.38,35.88,35.96,68200,0.0,0.0
2013-11-29 00:00:00-05:00,36.0,36.2,34.52,36.1,97300,0.0,0.0
2013-12-02 00:00:00-05:00,36.1,36.1,35.04,35.54,66500,0.0,0.0
2013-12-03 00:00:00-05:00,35.95,35.95,34.0,34.59,126700,0.0,0.0
2013-12-04 00:00:00-05:00,34.42,35.57,33.5,35.22,116600,0.0,0.0
2013-12-05 00:00:00-05:00,35.0,35.9,33.51,33.95,160600,0.0,0.0
2013-12-06 00:00:00-05:00,34.57,35.0,33.12,33.86,89000,0.0,0.0
2013-12-09 00:00:00-05:00,34.18,34.6,33.43,33.84,71300,0.0,0.0
2013-12-10 00:00:00-05:00,34.26,34.5,33.5,33.76,214300,0.0,0.0
2013-12-11 00:00:00-05:00,33.38,34.4,32.52,32.97,119100,0.0,0.0
2013-12-12 00:00:00-05:00,33.29,34.0,31.5,31.98,191600,0.0,0.0
2013-12-13 00:00:00-05:00,32.01,33.49,31.7,32.64,92000,0.0,0.0
2013-12-16 00:00:00-05:00,32.88,33.74,32.26,33.02,165500,0.0,0.0
2013-12-17 00:00:00-05:00,32.7,33.4,31.8,33.14,66600,0.0,0.0
2013-12-18 00:00:00-05:00,33.4,33.92,32.25,32.26,81300,0.0,0.0
2013-12-19 00:00:00-05:00,32.15,33.58,32.04,33.16,88000,0.0,0.0
2013-12-20 00:00:00-05:00,34.5,34.67,33.27,34.35,181700,0.0,0.0
2013-12-23 00:00:00-05:00,34.55,34.75,33.48,33.59,59900,0.0,0.0
2013-12-24 00:00:00-05:00,34.26,34.89,33.7,33.84,53900,0.0,0.0
2013-12-26 00:00:00-05:00,34.0,34.84,34.0,34.07,51600,0.0,0.0
2013-12-27 00:00:00-05:00,34.26,34.74,33.62,34.0,33800,0.0,0.0
2013-12-30 00:00:00-05:00,34.0,34.54,33.5,33.94,71200,0.0,0.0
2013-12-31 00:00:00-05:00,34.11,34.32,33.36,34.2,101900,0.0,0.0
