Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-02 00:00:00-05:00,10.08,10.8,9.55,10.02,5100,0.0,0.0
2026-03-03 00:00:00-05:00,10.07,10.07,9.89,9.89,7700,0.0,0.0
2026-03-04 00:00:00-05:00,10.02,10.5,9.89,9.94,10000,0.0,0.0
2026-03-05 00:00:00-05:00,9.94,9.94,9.88,9.9,125800,0.0,0.0
2026-03-06 00:00:00-05:00,9.88,9.95,9.88,9.88,104800,0.0,0.0
2026-03-09 00:00:00-04:00,9.88,9.88,9.88,9.88,200,0.0,0.0
2026-03-10 00:00:00-04:00,9.88,9.9,9.88,9.89,29500,0.0,0.0
2026-03-11 00:00:00-04:00,9.88,9.9,9.88,9.88,4500,0.0,0.0
2026-03-12 00:00:00-04:00,9.89,9.89,9.88,9.88,100100,0.0,0.0
2026-03-13 00:00:00-04:00,9.88,9.89,9.88,9.88,64700,0.0,0.0
2026-03-16 00:00:00-04:00,9.89,9.89,9.89,9.89,100,0.0,0.0
2026-03-17 00:00:00-04:00,9.89,9.9,9.89,9.89,4500,0.0,0.0
2026-03-18 00:00:00-04:00,9.9,9.9,9.89,9.89,112200,0.0,0.0
2026-03-19 00:00:00-04:00,9.89,9.89,9.89,9.89,0,0.0,0.0
2026-03-20 00:00:00-04:00,9.9,9.9,9.9,9.9,300,0.0,0.0
2026-03-23 00:00:00-04:00,9.9,9.9,9.9,9.9,4700,0.0,0.0
2026-03-24 00:00:00-04:00,9.88,9.88,9.87,9.88,20100,0.0,0.0
2026-03-25 00:00:00-04:00,9.88,9.88,9.88,9.88,0,0.0,0.0
2026-03-26 00:00:00-04:00,9.88,9.88,9.88,9.88,0,0.0,0.0
2026-03-27 00:00:00-04:00,9.88,9.88,9.88,9.88,0,0.0,0.0
2026-03-30 00:00:00-04:00,9.87,9.87,9.87,9.87,5000,0.0,0.0
2026-03-31 00:00:00-04:00,9.87,9.87,9.87,9.87,0,0.0,0.0
2026-04-01 00:00:00-04:00,9.87,9.87,9.87,9.87,0,0.0,0.0
2026-04-02 00:00:00-04:00,9.87,9.87,9.87,9.87,0,0.0,0.0
2026-04-06 00:00:00-04:00,9.87,9.87,9.87,9.87,15300,0.0,0.0
2026-04-07 00:00:00-04:00,9.87,9.87,9.87,9.87,0,0.0,0.0
2026-04-08 00:00:00-04:00,9.87,9.87,9.87,9.87,0,0.0,0.0
2026-04-09 00:00:00-04:00,9.91,9.91,9.91,9.91,100,0.0,0.0
2026-04-10 00:00:00-04:00,9.87,9.87,9.87,9.87,1900,0.0,0.0
2026-04-13 00:00:00-04:00,9.87,9.87,9.87,9.87,0,0.0,0.0
2026-04-14 00:00:00-04:00,9.91,9.94,9.9,9.9,36400,0.0,0.0
2026-04-15 00:00:00-04:00,9.92,9.93,9.92,9.93,14300,0.0,0.0
2026-04-16 00:00:00-04:00,9.94,9.94,9.93,9.93,160800,0.0,0.0
2026-04-17 00:00:00-04:00,9.94,9.95,9.94,9.95,261700,0.0,0.0
2026-04-20 00:00:00-04:00,9.95,9.95,9.95,9.95,14400,0.0,0.0
2026-04-21 00:00:00-04:00,9.94,9.94,9.94,9.94,200,0.0,0.0
2026-04-22 00:00:00-04:00,9.92,9.95,9.92,9.95,600,0.0,0.0
2026-04-23 00:00:00-04:00,9.95,9.95,9.95,9.95,0,0.0,0.0
2026-04-24 00:00:00-04:00,9.94,9.94,9.94,9.94,5400,0.0,0.0
2026-04-27 00:00:00-04:00,9.95,9.96,9.95,9.96,5800,0.0,0.0
2026-04-28 00:00:00-04:00,9.96,9.96,9.96,9.96,0,0.0,0.0
2026-04-29 00:00:00-04:00,9.97,9.97,9.96,9.97,6400,0.0,0.0
2026-04-30 00:00:00-04:00,9.97,10.03,9.97,10.03,500,0.0,0.0
2026-05-01 00:00:00-04:00,9.95,9.95,9.95,9.95,3000,0.0,0.0
2026-05-04 00:00:00-04:00,9.98,9.98,9.98,9.98,2000,0.0,0.0
2026-05-05 00:00:00-04:00,9.98,9.98,9.98,9.98,0,0.0,0.0
2026-05-06 00:00:00-04:00,10.03,10.03,10.03,10.03,4500,0.0,0.0
2026-05-07 00:00:00-04:00,10.0,10.1,10.0,10.1,324400,0.0,0.0
2026-05-08 00:00:00-04:00,10.1,10.1,10.1,10.1,0,0.0,0.0
2026-05-11 00:00:00-04:00,10.09,10.09,10.03,10.06,1000,0.0,0.0
2026-05-12 00:00:00-04:00,10.06,10.08,10.05,10.06,23800,0.0,0.0
2026-05-13 00:00:00-04:00,10.05,10.07,10.03,10.05,24000,0.0,0.0
2026-05-14 00:00:00-04:00,10.08,10.08,10.08,10.08,1700,0.0,0.0
2026-05-15 00:00:00-04:00,10.05,10.09,10.0,10.01,91800,0.0,0.0
2026-05-18 00:00:00-04:00,10.01,10.01,10.01,10.01,0,0.0,0.0
2026-05-19 00:00:00-04:00,10.01,10.01,10.01,10.01,0,0.0,0.0
2026-05-20 00:00:00-04:00,10.02,10.04,10.02,10.02,3100,0.0,0.0
2026-05-21 00:00:00-04:00,10.04,10.15,10.04,10.05,717100,0.0,0.0
2026-05-22 00:00:00-04:00,10.05,10.05,10.05,10.05,0,0.0,0.0
2026-05-26 00:00:00-04:00,10.05,10.05,10.05,10.05,10000,0.0,0.0
2026-05-27 00:00:00-04:00,10.1,10.1,10.05,10.05,42900,0.0,0.0
2026-05-28 00:00:00-04:00,10.05,10.05,10.05,10.05,0,0.0,0.0
2026-05-29 00:00:00-04:00,10.08,10.1,10.08,10.1,21700,0.0,0.0
2026-06-01 00:00:00-04:00,10.15,10.15,10.11,10.11,5700,0.0,0.0
2026-06-02 00:00:00-04:00,10.11,10.11,10.11,10.11,0,0.0,0.0
2026-06-03 00:00:00-04:00,10.11,10.11,10.11,10.11,5000,0.0,0.0
2026-06-04 00:00:00-04:00,10.11,10.11,10.11,10.11,0,0.0,0.0
2026-06-05 00:00:00-04:00,10.11,10.11,10.11,10.11,0,0.0,0.0
2026-06-08 00:00:00-04:00,10.11,10.15,10.11,10.13,23100,0.0,0.0
2026-06-09 00:00:00-04:00,10.15,10.73,10.13,10.17,4100,0.0,0.0
2026-06-10 00:00:00-04:00,10.15,10.3,10.15,10.17,26600,0.0,0.0
2026-06-11 00:00:00-04:00,10.15,10.15,10.15,10.15,600,0.0,0.0
2026-06-12 00:00:00-04:00,10.12,10.41,10.12,10.2,6800,0.0,0.0
2026-06-15 00:00:00-04:00,10.2,10.2,10.2,10.2,0,0.0,0.0
