Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-12-21 00:00:00-05:00,18000.0,18750.0,18000.0,18000.0,468,0.0,0.0
1995-12-22 00:00:00-05:00,18000.0,18375.0,18000.0,18000.0,278,0.0,0.0
1995-12-26 00:00:00-05:00,18000.0,18375.0,18000.0,18000.0,10,0.0,0.0
1995-12-27 00:00:00-05:00,18375.0,18375.0,18000.0,18000.0,44,0.0,0.0
1995-12-28 00:00:00-05:00,18000.0,18375.0,18000.0,18000.0,151,0.0,0.0
1995-12-29 00:00:00-05:00,18093.75,18375.0,18000.0,18375.0,28,0.0,0.0
1996-01-02 00:00:00-05:00,18000.0,18750.0,18000.0,18187.5,116,0.0,0.0
1996-01-03 00:00:00-05:00,18750.0,18750.0,18000.0,18750.0,18,0.0,0.0
1996-01-04 00:00:00-05:00,18375.0,19500.0,18375.0,18375.0,53,0.0,0.0
1996-01-05 00:00:00-05:00,18750.0,19125.0,18000.0,18000.0,49,0.0,0.0
1996-01-08 00:00:00-05:00,18000.0,18000.0,18000.0,18000.0,0,0.0,0.0
1996-01-09 00:00:00-05:00,19125.0,19125.0,18000.0,19125.0,42,0.0,0.0
1996-01-10 00:00:00-05:00,18000.0,19125.0,18000.0,19125.0,4,0.0,0.0
1996-01-11 00:00:00-05:00,18000.0,19125.0,18000.0,18000.0,9,0.0,0.0
1996-01-12 00:00:00-05:00,18000.0,19125.0,18000.0,18000.0,43,0.0,0.0
1996-01-15 00:00:00-05:00,18000.0,18375.0,18000.0,18187.5,5,0.0,0.0
1996-01-16 00:00:00-05:00,18000.0,19125.0,18000.0,18375.0,46,0.0,0.0
1996-01-17 00:00:00-05:00,18375.0,19125.0,18000.0,19125.0,47,0.0,0.0
1996-01-18 00:00:00-05:00,18375.0,19125.0,18000.0,18000.0,41,0.0,0.0
1996-01-19 00:00:00-05:00,19125.0,19125.0,18187.5,19125.0,7,0.0,0.0
1996-01-22 00:00:00-05:00,19125.0,19125.0,18000.0,18000.0,3,0.0,0.0
1996-01-23 00:00:00-05:00,18000.0,18000.0,18000.0,18000.0,5,0.0,0.0
1996-01-24 00:00:00-05:00,18000.0,18656.25,18000.0,18000.0,14,0.0,0.0
1996-01-25 00:00:00-05:00,18000.0,18187.5,18000.0,18000.0,36,0.0,0.0
1996-01-26 00:00:00-05:00,18750.0,18750.0,18000.0,18000.0,52,0.0,0.0
1996-01-29 00:00:00-05:00,18750.0,18750.0,17625.0,17625.0,23,0.0,0.0
1996-01-30 00:00:00-05:00,18562.5,18562.5,18562.5,18562.5,1,0.0,0.0
1996-01-31 00:00:00-05:00,17625.0,18187.5,17625.0,18187.5,105,0.0,0.0
1996-02-01 00:00:00-05:00,18750.0,18750.0,17625.0,18750.0,9,0.0,0.0
1996-02-02 00:00:00-05:00,17812.5,18750.0,17812.5,18750.0,20,0.0,0.0
1996-02-05 00:00:00-05:00,18187.5,18750.0,17625.0,17625.0,8,0.0,0.0
1996-02-06 00:00:00-05:00,17625.0,22500.0,17625.0,21000.0,68,0.0,0.0
1996-02-07 00:00:00-05:00,20625.0,21750.0,19500.0,21000.0,169,0.0,0.0
1996-02-08 00:00:00-05:00,21000.0,21750.0,21000.0,21000.0,23,0.0,0.0
1996-02-09 00:00:00-05:00,21375.0,21562.5,20625.0,21000.0,77,0.0,0.0
1996-02-12 00:00:00-05:00,21750.0,21750.0,21000.0,21375.0,46,0.0,0.0
1996-02-13 00:00:00-05:00,21750.0,22500.0,21375.0,22312.5,83,0.0,0.0
1996-02-14 00:00:00-05:00,22500.0,22875.0,22125.0,22500.0,48,0.0,0.0
1996-02-15 00:00:00-05:00,22125.0,22500.0,21750.0,22125.0,27,0.0,0.0
1996-02-16 00:00:00-05:00,22031.25,22500.0,21750.0,22500.0,34,0.0,0.0
1996-02-20 00:00:00-05:00,22500.0,22500.0,21375.0,21375.0,73,0.0,0.0
1996-02-21 00:00:00-05:00,21562.5,21562.5,21000.0,21562.5,32,0.0,0.0
1996-02-22 00:00:00-05:00,21000.0,21937.5,21000.0,21937.5,0,0.0,0.0
